iter	Passed	Remaining
734	2085	3589
735	2088	3586
736	2091	3583
737	2093	3580
738	2096	3577
739	2099	3574
740	2102	3571
741	2104	3568
742	2107	3565
743	2110	3562
744	2113	3559
745	2115	3556
746	2118	3553
747	2121	3550
748	2123	3547
749	2126	3544
750	2129	3541
751	2132	3538
752	2134	3535
753	2137	3532
754	2140	3529
755	2143	3526
756	2145	3523
757	2148	3520
758	2151	3517
759	2153	3514
760	2156	3511
761	2159	3508
762	2161	3505
763	2164	3501
764	2167	3498
765	2169	3495
766	2172	3492
767	2175	3489
768	2178	3486
769	2180	3483
770	2183	3480
771	2186	3477
772	2189	3475
773	2192	3472
774	2195	3469
775	2198	3467
776	2201	3464
777	2203	3461
778	2206	3458
779	2209	3455
780	2211	3452
781	2214	3449
782	2217	3446
783	2220	3443
784	2222	3440
785	2225	3437
786	2228	3434
787	2231	3431
788	2233	3428
789	2236	3425
790	2238	3422
791	2241	3419
792	2244	3416
793	2247	3413
794	2249	3410
795	2252	3407
796	2255	3404
797	2258	3401
798	2261	3398
799	2263	3395
800	2266	3392
801	2269	3389
802	2272	3386
803	2274	3383
804	2277	3380
805	2279	3377
806	2282	3374
807	2285	3371
808	2288	3368
809	2290	3365
810	2293	3362
811	2296	3359
812	2298	3356
813	2301	3353
814	2304	3350
815	2306	3347
816	2309	3344
817	2312	3340
818	2315	3338
819	2317	3335
820	2320	3332
821	2322	3328
822	2325	3325
823	2328	3322
824	2331	3320
825	2333	3316
826	2336	3313
827	2339	3310
828	2341	3307
829	2344	3304
830	2347	3301
831	2349	3298
832	2352	3295
833	2354	3292
834	2357	3289
835	2360	3286
836	2363	3283
837	2365	3280
838	2368	3277
839	2370	3274
840	2373	3271
841	2376	3268
842	2379	3265
843	2381	3262
844	2384	3259
845	2387	3256
846	2389	3253
847	2392	3250
848	2395	3247
849	2397	3244
850	2400	3241
851	2403	3238
852	2406	3235
853	2408	3232
854	2411	3229
855	2413	3226
856	2416	3223
857	2419	3220
858	2421	3217
859	2424	3214
860	2427	3211
861	2429	3207
862	2432	3204
863	2435	3202
864	2438	3199
865	2441	3196
866	2443	3193
867	2446	3190
868	2449	3187
869	2451	3184
870	2454	3181
